Dienst;naam;Beschrijving;sub;sub;Status;grondslag;Bron;jargon;regels;actor;informatie;logistiek
228;Beleid (opstellen, implementeren, evalueren);"de ondersteuning van de bedrijfsvoering bij de gerechten;
Adviseren regering en Staten Generaal t.a.v. rechtspleging
";221;Besturing;;Wet RO art 95 lid 1;;;;;;
229;Besluitvorming;;221;Besturing;;;;;;;;
230;Opdrachtverstrekking;;221;Besturing;;;;;;;;
231;Mandatering;w.o. zaakverdeling over de gerechten conform zaakverdelingsreglement;221;Besturing;;Wetsvoorstel hgk;;;;;;
232;Controle op verstrekte opdrachten en mandaten;;221;Besturing;;;;;;;;
233;toekenning van budgetten ten laste van de rijksbegroting aan de gerechten;;225;Bekostiging;;;;;;;;
234;Verwerken van brongegevens;;222;Informatie analyseren;;;;;;;;
235;Interpreteren en analyseren van informatie;;222;Informatie analyseren;;;;;;;;
236;Maken van trendrapportages of analyses;;222;Informatie analyseren;;;;;;;;
237;operationele en tactische planning van zaken;;224;Planning en verantwoording;;;;;;;;
238;periodieke rapportage op kentallen;"het toezicht op de uitvoering van de begroting door de gerechten;
het toezicht op de bedrijfsvoering bij de gerechten;";224;Planning en verantwoording;;Wet RO art 91 lid 1;;;;;;
239;opstellen capaciteitsberekening;;224;Planning en verantwoording;;;;;;;;
240;Voorbereiden begroting;De voorbereiding van de begroting voor de Raad en de gerechten gezamenlijk (Raad). Hieronder ook de meerjarige begroting + jaarplan, ter afstemming met MvJ;225;Bekostiging;;"Wet RO art 91 lid 1; art 98; art 102";;;;;;
241;Toekennen budgetten aan gerechten;De toekenning van budgetten ten laste van de rijksbegroting aan de gerechten (Raad);225;Bekostiging;;Wet RO art 91 lid 1;;;;;;
242;Opstellen jaarverslag;T.b.v. verantwoording gerealiseerde productie + doelen t.o.v. begroting + jaarplan;224;Planning en verantwoording;;Wet RO art 104;;;;;;
243;Griffierecht innen;;;;;;;;;;;
244;;;;;;;;;;;;
245;;;;;;;;;;;;
246;;;;;;;;;;;;
247;Presenteren;zie uti viro (Presenteren);;;Naar applicatie services;;;;;;;
